id,value
Sample,
Sample.High_Rating,
Sample.High_Rating.Topic_0,
Sample.High_Rating.Topic_0.almond , 0.025833163
Sample.High_Rating.Topic_0.recipes , 0.02410601
Sample.High_Rating.Topic_0.salsa , 0.017290585
Sample.High_Rating.Topic_0.stack , 0.013661019
Sample.High_Rating.Topic_0.hype , 0.012826534
Sample.High_Rating.Topic_0.quesadilla , 0.011077214
Sample.High_Rating.Topic_0.test , 0.010655977
Sample.High_Rating.Topic_0.junk , 0.010251465
Sample.High_Rating.Topic_0.mmmmm , 0.009021188
Sample.High_Rating.Topic_0.pricier , 0.007976331
Sample.High_Rating.Topic_0.shoots , 0.007675248
Sample.High_Rating.Topic_0.commercial , 0.0072755804
Sample.High_Rating.Topic_0.soooooo , 0.007009417
Sample.High_Rating.Topic_0.wedding , 0.0069151395
Sample.High_Rating.Topic_0.success , 0.006556348
Sample.High_Rating.Topic_1,
Sample.High_Rating.Topic_1.sandwiches , 0.07789291
Sample.High_Rating.Topic_1.delicious , 0.021624893
Sample.High_Rating.Topic_1.meatballs , 0.016675755
Sample.High_Rating.Topic_1.squash , 0.010187472
Sample.High_Rating.Topic_1.vegan , 0.009478717
Sample.High_Rating.Topic_1.caramel , 0.0089619635
Sample.High_Rating.Topic_1.sports , 0.008883096
Sample.High_Rating.Topic_1.great , 0.008616023
Sample.High_Rating.Topic_1.peppers , 0.008015505
Sample.High_Rating.Topic_1.reach , 0.0073010596
Sample.High_Rating.Topic_1.entered , 0.0071104867
Sample.High_Rating.Topic_1.favourite , 0.0069842148
Sample.High_Rating.Topic_1.path , 0.0069444943
Sample.High_Rating.Topic_1.flavour , 0.0068650357
Sample.High_Rating.Topic_1.vacation , 0.0068294764
Sample.High_Rating.Topic_2,
Sample.High_Rating.Topic_2.mongolian , 0.13458052
Sample.High_Rating.Topic_2.dough , 0.024490925
Sample.High_Rating.Topic_2.ideal , 0.013270191
Sample.High_Rating.Topic_2.chinatown , 0.011543412
Sample.High_Rating.Topic_2.opportunity , 0.010903205
Sample.High_Rating.Topic_2.pear , 0.010380591
Sample.High_Rating.Topic_2.deserve , 0.009692739
Sample.High_Rating.Topic_2.endless , 0.008757051
Sample.High_Rating.Topic_2.listen , 0.0072443127
Sample.High_Rating.Topic_2.refund , 0.0068175565
Sample.High_Rating.Topic_2.gladly , 0.005693696
Sample.High_Rating.Topic_2.chick , 0.005623699
Sample.High_Rating.Topic_2.perfect , 0.005442531
Sample.High_Rating.Topic_2.boo , 0.0053023933
Sample.High_Rating.Topic_2.track , 0.0050182315
Sample.High_Rating.Topic_3,
Sample.High_Rating.Topic_3.mac , 0.026616123
Sample.High_Rating.Topic_3.cookies , 0.022495266
Sample.High_Rating.Topic_3.mongolian , 0.010972303
Sample.High_Rating.Topic_3.chip , 0.010335221
Sample.High_Rating.Topic_3.jerky , 0.008529624
Sample.High_Rating.Topic_3.unlimited , 0.008227491
Sample.High_Rating.Topic_3.bone , 0.0073008463
Sample.High_Rating.Topic_3.bag , 0.0072695683
Sample.High_Rating.Topic_3.superb , 0.006455732
Sample.High_Rating.Topic_3.dined , 0.0063165915
Sample.High_Rating.Topic_3.sample, 0.0061991704
Sample.High_Rating.Topic_3.dried , 0.0061325314
Sample.High_Rating.Topic_3.tapas , 0.006089175
Sample.High_Rating.Topic_3.hipster , 0.005944056
Sample.High_Rating.Topic_3.natural , 0.0059415344
Sample.High_Rating.Topic_4,
Sample.High_Rating.Topic_4.drunken , 0.046950173
Sample.High_Rating.Topic_4.peppers , 0.037647817
Sample.High_Rating.Topic_4.pei , 0.012564172
